lemma,part_of_speech,translation,note,source_sheet,source_row
absolute,adjective,абсолютный,an absolute value (абсолютное значение),Table 1,4
abstract,adjective,"резюме, квинтэссенция",an abstract of the paper (резюме научной работы),Table 1,5
academic,adjective,"академический, научный",an academic journal (научный журнал),Table 1,6
acceptable,adjective,"приемлемый, допустимый",an acceptable sentence (допустимое предложение),Table 1,7
accidental,adjective,случайный,an accidental coincidence (случайное совпадение),Table 1,8
accordance,noun,соответствие,"according to Sakamoto, 2013 (согласно работе Сакамото, 2013 г.)",Table 1,9
account,noun,"расчёт, учёт",account for the data (с учётом данных),Table 1,10
achieve,verb,достигать,achieve the goal (достигать цели),Table 1,11
acknowledge,verb,признавать,"acknowledgment (признание, благодарность)",Table 1,12
acquire,verb,приобретать,acquisition (приобретение),Table 1,13
adapt,verb,адаптировать,adaptation (адаптация),Table 1,14
adequate,adjective,"адекватный, достаточный",adequacy (адекватность),Table 1,15
adjacent,adjective,соседний,adjacency (смежность),Table 1,16
adopt,verb,принимать,adoption (принятие),Table 1,17
advance,noun,"продвижение, прогресс",advance the discussion (продвигать обсуждение),Table 1,18
advantage,noun,преимущество,disadvantage (недостаток),Table 1,19
affect,verb,влиять,effect (эффект),Table 1,20
aggregate,adjective,совокупный,aggregation (агрегация),Table 1,21
albeit,preposition,хотя,,Table 1,22
allow,verb,позволять,allow A to V (позволять А сделать В),Table 1,23
alternative,noun,альтернатива,alternatively (в качестве альтернативы),Table 1,24
ambiguous,adjective,двусмысленный,ambiguity (двусмысленность),Table 1,25
analogous,adjective,аналогичный,analogy (аналогия),Table 1,26
analysis,noun,анализ,analyze (анализировать),Table 1,27
annotation,noun,аннотация,annotate (аннотировать),Table 1,28
anonymous,adjective,анонимный,anonymous reviewers (анонимные рецензенты),Table 2,1
apparatus,noun,"аппарат, инструментарий",a conceptual apparatus (понятийный аппарат),Table 2,2
apparent,adjective,очевидный,an apparent counterexample (очевидный контрпример),Table 2,3
appendix,noun,приложение,Appendix A (Приложение А); используется без артикля,Table 2,4
applicable,adjective,применимый,apply to (применять к…),Table 2,5
approach,noun,"подход, подходить",approach the problem (подходить к проблеме),Table 2,6
appropriate,adjective,подходящий,an appropriate explanation (подходящее объяснение),Table 2,7
approximately,noun,приблизительно,approximate (приблизительный),Table 2,8
arbitrary,adjective,произвольный,an arbitrary relationship (произвольная зависимость),Table 2,9
argument,noun,спор,argue (спорить),Table 2,10
aspect,noun,аспект,,Table 2,11
associate,verb,"ассоциировать, связывать",associate A with B (связывать А с В),Table 2,12
assume,verb,предполагать,assumption (предположение),Table 2,13
attain,verb,достигать,attainment (достижение),Table 2,14
attribute,verb,приписывать,attribute A to B (приписывать А к В),Table 2,15
automatic,adjective,автоматический,automatically (автоматически),Table 2,16
background,noun,предыстория,background knowledge (фоновые знания),Table 2,17
basis,noun,основа,on the basis of (на основании),Table 2,18
bear,verb,нести,bear in mind (иметь в виду),Table 2,19
behavior,noun,поведение,behave (вести себя),Table 2,20
benefit,noun,"польза, выгода",beneficial (полезный),Table 2,21
brief,adjective,краткий,briefly (кратко),Table 2,22
broad,adjective,широкий,broadly (в широком смысле),Table 2,23
calculate,verb,вычислять,calculation (вычисление),Table 2,24
capture,verb,"захватывать, отражать",capture the essence (отразить суть),Table 2,25
case,noun,случай,in this case (в этом случае),Table 2,26
category,noun,категория,categorize (категоризировать),Table 2,27
cause,noun,причина,cause A to V (заставить А сделать В),Table 2,28
central,adjective,центральный,centrally (центрально),Table 2,29
certain,adjective,"определённый, некоторый",certainty (уверенность),Table 3,1
challenge,noun,проблема,challenging (сложный),Table 3,2
characteristic,noun,характеристика,characterize (характеризовать),Table 3,3
chart,noun,диаграмма,,Table 3,4
cite,verb,цитировать,citation (цитата),Table 3,5
claim,verb,утверждать,,Table 3,6
clarify,verb,прояснять,clarification (прояснение),Table 3,7
classic,adjective,классический,,Table 3,8
classification,noun,классификация,classify (классифицировать),Table 3,9
clearly,adverb,ясно,clear (ясный),Table 3,10
closely,adverb,пристально,"close (детальный, приближенный – о рассмотрении и т. п.)",Table 3,11
clue,noun,ключ,provide clues to answering (предоставить ключи к ответу),Table 3,12
coherent,adjective,связанный,coherence (связанность),Table 3,13
collaboration,noun,сотрудничество,collaborate (сотрудничать),Table 3,14
column,noun,столбец,the leftmost/rightmost column (крайний слева/ справа столбец),Table 3,15
common,adjective,общий,commonality (общность),Table 3,16
comparable,adjective,сравнимый,,Table 3,17
comparative,adjective,сравнительный,compare A to/with B (сравнивать А с В),Table 3,18
comparison,noun,сравнение,by comparison (для сравнения),Table 3,19
compatible,adjective,совместимый,compatibility (совместимость),Table 3,20
compelling,adjective,убедительный,a compelling argument (убедительный аргумент),Table 3,21
complement,verb,дополнять,complementary (дополняющий),Table 3,22
complete,adjective,полный,completion (завершение),Table 3,23
complex,adjective,сложный,complexity (сложность),Table 3,24
component,noun,компонент,,Table 3,25
comprehensive,adjective,всеобъемлющий,comprehensively (всеобъемлюще),Table 3,26
